"","biz_id","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual"
"4722","avhNXYkbGmTpUMDGw-imvg","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4724","Vn8qcaX64fkl8vByCsSvIg","2",1,0,0,2,0,1,0,0,0,0,0,0,0,0,1
"4726","x-lEn6WxwqSNrdYdgjRsyw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4729","0mipXeIcQaqhkpseD8-0vQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4730","O48Mv1VkQYZrDkR6LhnY4g","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"4731","GJYnefPDjq_ry-LANiww7w","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4733","7U8TYNW4Mvx6m3zexsO0sg","3",1,1,0,2,1,1,0,0,1,0,0,0,0,0,1
"4735","LNdwp-9Isnd6xmBKUz4K_A","2",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4737","FY_OXEVcewAQFZuu6fynLA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4738","awJTMRbRbrLRZirPe2DXJA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4739","kujMsR1OBOHZ6vZN_QWG_A","1",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"4740","Lx4ZFP6dIMzi7Ib-ljV-ww","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4741","4O0wiASnDa56Clna0PG65w","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4742","YIk6GrvfDpl1LDBMeiTL-w","0",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4747","Cv4kZH9zN0wpN2Drn0qkLg","1",1,1,0,2,0,0,0,0,0,0,0,0,1,0,1
"4752","Em7XOiLO6PjsRB6uH36ktA","1",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4754","PMRhNmJmHjugB9NXgn5mug","2",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"4758","YKuuE9tWiGUYd14WbtAk_A","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4760","RYZ08XAToBaN-bS5HHVEhQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4763","mUVTlJSil_xyjPD6qMx8UA","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"4765","w1zfhAZl0J16-ot-LhJHvg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4766","Cix9as8NXr9Ul0boTJ8k1A","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4767","ZXvxDxhNz8XSe59oj2QlZg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4768","xfdLOxCQLcPF8dGNMOCGXg","1",1,1,0,4,0,0,0,0,0,0,1,0,0,0,1
"4770","XmJtUUTpgmeYQs_69uZ89Q","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4773","GqdJHel5Ld8DI415QBDyIQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4774","_ODHYjCmrb3W9hIGJI1uaA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"4775","U-uTG4ofQoaCGGY5MVsJsA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4776","VwmyIQ9KAtHEhIZuPix3CA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4777","zWl6V8-L6m9Xfmpq_MqkKw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4783","P33KmWd4TKSRIzD350JbzA","2",1,1,0,3,0,1,0,0,0,0,0,0,0,0,0
"4787","q37eFP7wNLVg5ka1BophAg","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4789","Rs6kOdxCB6Bdox7VsFTKzQ","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4790","lNOk-u3pj5O5C1WGUVIG3A","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4792","YfqofIsMZV7udq7BgifnIQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4795","M0a0UNYie0vmrDxY5r2yjA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4798","zBl32GAjYcKNpsEGPXXuqg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4801","QJ4iodv1xkUYBSZ9y1MWVg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4805","_oBxfuBd2qDEWaYsdvP_dg","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4810","uptdn_hZsuJOCp5WCKJxjQ","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4815","MHPXDXVE_cUYodfPhkadeQ","2",0,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"4816","RTiTZGVHjrXTQ8ekImfUQA","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4817","JdwvA6BxRBukQQecZUIYpg","2",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"4820","vFtMSgQsd3Fwt3U7UJf5dQ","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4822","4t2DtOOtehQx5vM9qL2RqQ","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4826","WJKynWlt3K_8uymTCgThDg","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4828","NZSa_ULvwidCxA0OG7B2Ig","2",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"4830","bsDkiuoIA7_ecWTjG6ifwA","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"4832","YSOaPUm5EORusVSPB6_Zag","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4833","LxE7D6uigL3vLaasPU7Ewg","2",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"4834","78dfzUUVUeFpcYKqvs_X1w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4835","YZbDLZp0zhmgnIPflNZZfA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4837","Yiw1ml0XVBDIQBTLXHNGmQ","2",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"4839","I0UXl0AwcpSZCd4_3YCccA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4841","XZWUW6-vxePuIEwRPgSl2w","1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4843","LEWwr5Qu2NKKv4t2BvtA6A","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4844","4jf5PMaxpcgA_fhirn5GgA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"4846","83sb0wFGPND90SZ5sYEcPA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4853","Pyu7o8W7I5l4h1-QhgGJBA","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4855","dB8_d0PBw2XH3jpbI19zTg","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4856","vfv0rermjJJkWD50Plo5ig","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4858","QiBNnRkMZ5chmo_9eOzv5A","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"4859","s6cDGkLyVRC1SAGDC-_sog","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4861","FaFR-cMtfRgKk7NCRcZmYQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4864","Fnfz9bpjjg1E4eAih2XomA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4866","UUnawRMKzdtoYSOxfi1BRQ","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4869","GoWTsb8sGyJ026a3cbw03Q","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4871","TdNIQQcfslKjkey4-yAlKg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4874","HBitDS-rPJAqKId2ela2Pw","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4876","5dUwkNSS7iFDrZ9E-hQw-w","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4877","tt4ZFn2PEf-n9VwsO3Whwg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4883","YRWuNpZHoSpy0zPpc7TzqQ","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4888","F3wzildlt2jM4OAQ2Z0ZJw","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4889","9JsUxFmCRNW_0d1Ey8xD2A","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4892","_Nx8hwTmjR_x62Byjav0Ew","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4896","1kMR_HUA8i-wYOJFZfLhBA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4900","-WXH-j7_Ugm6phJDdY5bzw","2",1,1,0,4,0,1,0,0,0,0,0,0,0,0,0
"4902","S8R5c7-plWe3NtmijYAJvg","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,1
"4904","wNUea3IXZWD63bbOQaOH-g","2",1,1,0,2,0,1,0,0,0,0,0,0,1,0,0
"4906","Y2Lfzulh_D9nNcuH49UT4w","3",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"4909","TucqtiPHUT9xFT3teOPq-w","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"4912","08NQu7YaKY3m500DS7e5Tw","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4915","mms3-uX7mK42Hj8fJqsPfw","1",1,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"4919","cdwHgELA2puX2DNfwSt5EA","3",1,1,0,2,1,1,1,0,0,0,0,1,0,0,0
"4925","S8pptjMpmKGKrJ8yAmq-Zg","2",1,1,0,3,1,1,0,0,0,0,0,0,1,0,1
"4928","8NoAiZz7Cv0NO57pbpT05w","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930","wRWakw2wXmMEAe9FW9w1Pg","3",1,1,0,3,0,1,0,0,0,0,0,0,0,0,0
"4931","2h9LsLPdJ7OvZrYJZhVdAw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933","XtxDe5SQfcW1yDOe1GC29Q","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"4936","T24TTJTHd4np2zqBIvWLfA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4938","-8wyZkzfBmCFkMwCGcR4PQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4940","jj-K19oswZARMwCQK-b37A","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4944","Wns0UP_28xk6uZ-b6LrMnQ","1",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4945","Vh_xXB42CYfhEdelpDb1Ow","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"4947","iE1eq7kDacRwgvFZJmjfgw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4949","gAwoeSYoyVjp5rcwnaTz2w","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4953","sb4wU69LkCtC6Axqcd34WQ","2",1,1,0,2,0,1,0,0,0,0,0,0,1,0,0
"4954","6IW10FFgrAfdLwpBW_V-_w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"4955","IMzfrq_p_nCNL5dfLzpCdw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4958","aVBebzA7D9DpQ-JbiCxQNg","1",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"4962","YnhDJp6PCX05x1MEq1Pw3w","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4963","4X_XAOeMw7AFkYhg3NINJA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"4964","WQc22qucCCtOytbx5CHqbw","2",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"4965","x55m0oB4eVv6pCnxR_9K4g","1",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4968","7nX8xt_CdDJW8U5qvCAzsQ","0",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"4970","EUfVkqNFv5Ay0W7nbaivJA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4974","-CYr479M7Y49UqIPwFcjEg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4976","UO_4j9fGCLflN4wtusPkQQ","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"4977","e-U3s4nPAR0OK4RprleF4g","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4980","_D3KUba-5fHTbucTBAnigw","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4985","hzHyNCc3WijMVOzPcCuRJg","2",1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
"4990","stH6XAn2Drzol1H5oGvL2A","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"4995","wIHOvreNKWa2_vhM2dyjug","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4997","ABrSt3fsirLrUYNVrD3fbQ","2",1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
"5004","HkSyssTd5_QNNeGI0-ltTg","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"5005","bHSpI3nPqAj2S-dmRyOOOQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5007","hZRLGfRrZTo9up2P-0aAHg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5008","vJ_mfmsWhFJBVNztbk003g","2",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5009","XvQDPOu2oTdNPx8kiiTYow","1",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5011","lleBpckOoHmbQSmO7MWr4A","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5012","Ng64OojrfYmtyBtv_0UMnw","1",1,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"5013","wyzV5-IKq9lfN8Upaf7KSg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5019","XMVetdmE2IzMcRbvjhVFnQ","4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5020","ET9VpUk1UgjMN5DJRV0yOw","3",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"5023","igD5We_87JFrtaaR7bh_Xg","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"5028","notMxQXE3BaBAgiD-o1jgg","2",1,1,0,2,0,1,0,0,0,1,0,0,0,0,1
"5034","dxAlupwjiQH91m4cE9a17g","1",0,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"5040","RIyF7kWeceEtcPpGG8oNJw","0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5042","PxUQyOAdK8c3P_WnrXuCUg","1",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"5052","acaBJcFEKPmmSDIO6c-ZGQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5056","T35GMi7R4XtJ84W0Y_nDAg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5060","QoFRAwMpoaMBlfg7ygh7rA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5061","uluM1I_Pf_d9egCBXH4oqQ","1",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"5063","QzVma33C7UihhDKzOm6EDA","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5064","Bc4DoKgrKCtCuN-0O5He3A","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5065","gKqsv37BaAT_jxfWgDlmVg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5067","0lEp4vISRmOXa8Xz2pWhbw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5072","rXrCQcs7NOcOhpBFxjDkGQ","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5075","fowXs9zAM0TQhSfSkPeVuw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"5077","ujLZmyy11g1JHCQTxRA3Dw","2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"5079","MMLEhoPYQif2PEIVxAfIKQ","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5080","GGXtuLHpWWhkUpVynhFHWw","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5081","mcgtZvjjCXLY-Dt7V_XZ6g","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5086","S8duZhuPOTFc2RbADd9xzg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5089","fTHHKZPoxaWcPc7lG9UQVA","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5094","gBVytpiIYGLB1wce-Dfbxg","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"5096","IURIbkgQgHXAgwX6hAgiNQ","2",1,0,0,2,1,1,0,0,0,0,0,0,0,0,1
"5099","r-5_rdz6hB25prcXrmWNRA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5101","O510Re68mOy9dU490JTKCg","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5102","PBcsBfduHaCBVLsgVvAkJQ","1",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"5105","RoXpniL8AtWwnIzvY2XUXw","1",1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
"5106","KWo4geULVPzCirc0Scpcow","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5109","flTg6a9p4iK3Mhm3DA2tAg","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5111","JmKgenzB37i3xcK0rJkDmQ","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"5115","3ZXpAvE6KT3oJm1FUvuEVQ","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5118","j70ROF6rKpipGUiaYzrnRA","2",1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
"5121","5CWKlH0uyOUF5EZIyewMXg","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5123","rTrZcAyxhIws62yA_f4huA","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5124","U7ikf8xRzJ6Fnq_yrfiMGg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5129","h53YuCiIDfEFSJCQpk8v1g","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5130","gQjTs4BDNYSu9oJhkEsssw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"5134","7x-e_cU8XX01gftJ8-s5Gw","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5137","ELFgjsfhfy8plr7g_ouyMg","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5139","d3MxUXS1b6U2P_gGuCO1-A","2",1,1,0,2,1,1,0,1,0,1,0,0,1,0,0
"5143","rfuCmgGhWoBLx5QvZqadwg","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5145","PfJ17JQJKsX9KHHEkkr6iQ","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5146","xdwPHc25l7_roZ9Kfea13w","2",1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"5147","Gp9DdRy5cycduXjkLkj8ZQ","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5149","CcEpNRhwxyZVTKWXfYqvqg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5151","nBh_r_hseU4fM92-tKaivw","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"5152","r3FHkf6lbmMUh3oPSrlIvw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5155","ddbDLzrMZxfKLjxtKOhWTA","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5158","oMycF1cQgR1UVkafXfof7A","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5159","UqRbXF91yYJVnqYhvmn8Qw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5160","69il2O11WbxwzIpCmeAQAg","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5163","XxE8YV18K6Cb7uvQLN3XZQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5171","Hzd20nEBE7i-Dxd8Qg85cA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5176","3ceTmojhpo-EEwlUg_zHeA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5178","KqHEp8K8jIKapJIQNA7QTg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5182","JRhbdbjWYsK0s3q2waoULw","1",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"5183","LRLN1CIUprYLs6rWUC5bAg","3",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5187","hoDG7g0Qxqje0dP_7MqpHQ","2",1,1,0,2,1,1,0,1,0,0,0,0,0,0,0
"5193","lhsFsAPGV1lCOZZnQhateQ","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5195","yna3dHG51ukNanJRee2eEA","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5196","CSr0ur66eNbIskCy-UGdHg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5204","jSfTG3uDq4WtTKmUqIrrng","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5205","nseCVrqIJ6GLdSz6dn4fkA","1",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"5207","iAe55bO88EwBiPL2GhwBew","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"5212","2yBk6SvYQPnickE_QJrlaA","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5216","I2IofjP2sHZUkv7pcoc33A","0",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5218","VBwpw0cRtN9xSQOlKYerhg","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5220","IaYdq2m9E8xB928p0mR8UQ","2",1,1,0,4,0,1,0,0,0,0,0,0,0,0,1
"5221","weCbIA8mCkVw7zmxPNT5sA","2",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"5225","bBbzOAtmmgdou5lCFEKr9w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5227","wWvInCI38F80lqLvnW26hg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5231","8z2DkKf_FrPVNtt_5w4QsQ","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5232","EljtR0HL1PSNjm2CebisoA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"5237","YoON7OZDm3yM6JHZiI5xpg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5238","x_mxrJALBi5No9CxRswEaQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5242","Za3V1QzD4C8ETMbRVBbfcw","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5246","3n6fuacXHobOr16Ks2t2LQ","2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5248","jBb5KHHAj4s8hcXVS6QXDg","2",1,1,0,2,1,1,0,0,0,0,0,1,0,1,0
"5249","JNt63pOmXJ4Y9u8KMQNvjw","2",1,1,0,2,1,1,0,0,1,0,0,0,0,0,0
"5250","-7smFzvh2E2fOOYs-0Dl8w","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5251","BVtHYiNpte5Ldk1gMO0fEg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5252","LI8-xzJrr27hOhzMtRTW2Q","2",1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"5253","r4cRbcxqjvx7rDTsw0iAfQ","1",1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"5257","b0XSFuuhNZ70-x6ikR3C5A","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5259","pkUj-lZb5ZEzLBw87-pOew","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5266","q1D8gjMMV4RZU0kFnB5VwA","2",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"5270","JPqklvIjiKX7ryMup6k7aA","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5272","bDR6kF5Aw9guBkaahSAchw","2",1,1,0,3,0,1,0,0,0,0,0,0,0,0,1
"5275","T6dbW2UuWTKar_22zbbiUw","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"5276","FFHzFdyWgM-OdMghuXMPEQ","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"5279","tqp42quHT1S_tgXQRXBx5w","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5280","nMHhuYan8e3cONo3PornJA","3",1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"5282","chF0P_B8pTAy_4xvLTUZ_w","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5285","xHVequQXQGVd1aT27HS6_Q","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5287","c51leTTj2gxo0PdypLoQWA","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5288","ACeo3zxrLN5gFc42NlwS2A","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"5289","LaUwJQL7M4WA9dXc_sYPtg","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5291","IfqYtKTV6_smGY8gbuYKkg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"5292","-Mf4I8Jr_Vly37Z3Mgf0zQ","1",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"5293","vxC3YTLOeGJwrnHcep63FQ","2",1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"5296","3ez4Qs56C_cC-l8x08l6Zw","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"5302","250I2C80JTgVwE23IPylHQ","1",1,1,0,2,0,0,0,0,0,0,1,0,0,0,1
"5303","AbVw6c0--AnAkqh-Sri48w","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5305","U7sejo2TGadsrAIdxCRKeQ","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5307","VDUwU8bHmeGgtJpe-rz3bQ","2",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"5309","UuBlHg1Mk0jonBSQPHfD0w","2",1,1,0,2,1,1,0,1,0,0,0,0,0,0,1
"5317","jDyn5GnMiWllhB7qDpzltw","1",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5318","4O8NrAHjO6Tb_Xa_YT-Xjg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5319","r7Ge8_c5Y2TXthb4CSjzaA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"5320","Me1m-be0Mk3OylUMSZusIw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"5321","bYR4hzpdsIALi5aJ12Ul5w","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5323","0jDkXQdprSgbx8GeK0dcTg","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5325","PYfbYi0M_q8sTmVBaocyow","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"5326","QBOl1IrpvzEpxD9hO3gMwg","2",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"5329","NuFs1Sh5wUa7ZLISMtCMRA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
