"","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual","desert","latenight","lunch","dinner","brunch","breakfast","wifi","delivery","tv","outdoor_seating","good_for_kids","good_for_groups","dogs","wheelchair","stars","UMM","UMMR","dogs"
"1925",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,0.139891075826657,0.563074248260778,1
"1926",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,4,0.135367750530971,0.473789617405645,1
"1930",1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,4,0.132178723557272,0.555187683421432,1
"1934",1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,4,0.108058989974621,0.449355135421429,1
"1935",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,5,0.215426564120556,1.034493990023,1
"1939",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,0,1,1,0,1,4,0.193465317057811,0.87571428456287,1
"1940",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,4.5,0.122760242128951,0.513900927840668,1
"1941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.547444581815257,2.43977832726103,1
"1945",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.0351393279044129,0.163216293559571,1
"1946",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.375000000000087,1.81250000000043,1
"1952",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0891505555902811,0.390603615953881,1
"1953",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.5,0.0837416424600076,0.34873483022544,1
"1954",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,1,4,0.0995371458713545,0.35573688351751,1
"1956",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4,0.143739802875373,0.585586694978852,1
"1958",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0605853101413976,0.291650828603424,1
"1959",3,1,1,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,1,4,0.124721556500566,0.469423232378542,1
"1963",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,4,0.100603410132102,0.341918250257427,1
"1964",2,1,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4,0.121474965596466,0.503604565731359,1
"1968",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.014962802484105,0.0649009218085826,1
"1969",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,4.5,0.106257178563335,0.483314924711854,1
"1970",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.0960701864501644,0.391138475309831,1
"1971",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,4,0.12498074054183,0.466262888739444,1
"1975",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.199423657427981,0.979195387663839,1
"1976",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4.5,0.166592570644137,0.78635854201999,1
"1978",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0.145113389871926,0.494551509105498,1
"1981",2,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,0,1,4,0.118508697504713,0.554503311428217,1
"1984",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,1,0,1,4,0.135792662662785,0.558677414659654,1
"1985",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,5,0.500000000000037,2.50000000000018,1
"1989",3,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,4,0.128391979606879,0.516900956368007,1
"1992",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.143890645242302,0.611854862925352,1
"1997",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.026199886769051,0.130999433845255,1
"1999",1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0.15797110071011,0.654571063325691,1
"2001",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0242541109038477,0.10799226783638,1
"2002",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.132549737866212,0.52417404539393,1
"2004",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0.0931556239744817,0.403122623501977,1
"2005",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0242692985068639,0.0989112294331912,1
"2007",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.0196499976386115,0.0961259091450351,1
"2008",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,4,0.125018347675049,0.573551545136676,1
"2009",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4.5,0.0954934631445539,0.457390068451833,1
"2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.181005965000126,0.724023860000506,1
"2014",2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,4,0.100208521247135,0.421803791487587,1
"2015",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4.5,0.145500690807458,0.615333005959124,1
"2016",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.122741173468968,0.593509533618578,1
"2022",1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,4,0.0704598515420278,0.301718138459067,1
"2023",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0.205107217610344,0.680952603306323,1
"2027",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.046003161309805,0.09200632261961,1
"2028",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,4.5,0.223582207199003,0.972894760720103,1
"2031",1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,4,0.248063199159472,1.15049854434805,1
"2033",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0.102598246410611,0.450761034539714,1
"2035",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,1,4,0.0802750167630977,0.342139009499152,1
"2036",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.105602147656002,0.42899224610427,1
"2038",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0209768890517896,0.0951671877497346,1
"2041",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,0.273868096249622,1.26445549330407,1
"2045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.299062804681518,1.19625121872607,1
"2046",1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,1,0,1,4,0.178556313025836,0.772763714141339,1
"2047",1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,4,0.129506148929578,0.489659384186733,1
"2048",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,4,0.185186469399508,0.769848447085217,1
"2050",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0316534323534887,0.100732036540764,1
"2053",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0.103427840199658,0.485025058232569,1
"2054",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0.384129593152604,1.72744957763621,1
"2055",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0285914554677825,0.114830983319341,1
"2057",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,4.5,0.222574424060324,0.987898736229536,1
"2058",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0528897587403344,0.197113702903303,1
"2059",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4.5,0.098879791009061,0.390902047276401,1
"2061",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0.0610171179034162,0.267032017897827,1
"2063",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.0906553934934096,0.403600567798502,1
"2066",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0.0801728750434486,0.399230723740813,1
"2068",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0.0767620408957735,0.302086307685549,1
"2069",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0262217218746182,0.114110935444775,1
"2074",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,0.10598407173693,0.451402811128235,1
"2077",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0323254434887157,0.136590464783861,1
"2079",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.0246647895538518,0.0831330554345763,1
"2080",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.229352067151144,0.968621866596873,1
"2082",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4,0.191153513905208,0.86207771624511,1
"2083",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4.5,0.0829023242307091,0.375143382908009,1
"2084",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4,0.12537942335839,0.576038079955681,1
"2085",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0.0880432129835127,0.300068021676868,1
"2086",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4.5,0.0872654280666492,0.410508800201952,1
"2090",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.164432845509967,0.768642327677477,1
"2091",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.185357256418269,0.762415494764804,1
"2092",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,1,0,0,4.5,0.154032049806544,0.730311348268062,1
"2095",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,4,0.150515227505575,0.669065943115166,1
"2097",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,1,4.5,0.141041971341305,0.626220609835407,1
"2100",3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4.5,0.166268373334562,0.751198294768397,1
"2103",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.350253534086054,1.75126767043027,1
"2104",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,4,0.0858570045540902,0.296500694669112,1
"2105",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,4,0.125204866326129,0.501171717233767,1
"2108",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,4,0.17652877397702,0.759661441950047,1
"2111",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,4,0.155388758407065,0.627589301194164,1
"2113",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.0515891007784762,0.233025360197351,1
"2117",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.5,0.141342491847924,0.614463459838464,1
"2118",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.0530549845765885,0.211416822611755,1
"2120",3,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,4,0.127576048421938,0.480910287693164,1
"2122",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.087147540811338,0.373689501060268,1
"2123",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.248887386059533,1.2040505498131,1
"2124",2,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,4,0.164784728121434,0.626131735372038,1
"2127",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.0168584208512405,0.0674336834049618,1
"2129",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.0564545834821428,0.252614018933318,1
"2130",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4,0.142265976871543,0.585361752710915,1
"2133",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,1,0,0,1,4,0.159920732996291,0.640028451052522,1
"2134",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.0931158791655101,0.448151592298148,1
"2135",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,4,0.138589302971466,0.570100881727943,1
"2142",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.0980009871609659,0.395914536577726,1
"2143",2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,4.5,0.221627073073808,0.981409205987005,1
"2144",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4,0.179696407625647,0.728529086873086,1
"2145",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,4,0.166361999172195,0.743085624100568,1
"2146",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00662509961760034,0.0257752042006879,1
"2148",2,1,1,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4.5,0.160404639215576,0.733488034682111,1
"2150",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.118955011724041,0.43291964297787,1
"2151",2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,4,0.0991385545243145,0.414201054590929,1
"2153",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5,0.203454741412979,0.914117032223887,1
"2155",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,1,4,0.0829927259542261,0.323441687240073,1
"2156",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,4.5,0.150393434274752,0.693365295562429,1
"2168",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.131798855804656,0.590895700762048,1
"2169",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.175814445688639,0.618445113891972,1
"2170",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.180661787330384,0.703612565433017,1
"2171",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,4,0.0613606936687928,0.252624910659794,1
"2172",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.0511933024510246,0.245294642351887,1
"2177",2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0.157395563407832,0.776624960766453,1
"2178",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,4,0.137056906120896,0.594848617565489,1
"2179",2,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0.171362655082467,0.660747809502976,1
"2180",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.250533958751841,1.2526697937592,1
"2181",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,4,0.17735060878401,0.737379554525305,1
"2182",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4,0.238238480997441,1.07910714618498,1
"2185",2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,4.5,0.177787627756456,0.738693947825815,1
"2187",1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,4.5,0.173396540569927,0.820974890797548,1
"2190",2,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,4,0.106947779343312,0.433573309854511,1
"2193",2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,4,0.0961470655669735,0.388536087690114,1
"2196",3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,4,0.125872031805862,0.493532254471723,1
"2199",2,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.158911696609835,0.582247446361324,1
"2201",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.130434612141808,0.599882669987368,1
"2203",0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0.025313955660741,0.119167719244093,1
"2204",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,1,1,1,0,1,4.5,0.106768747584946,0.469410099182777,1
"2206",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,4.5,0.124069942296211,0.500896085384722,1
"2207",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,4,0.124412331027368,0.530723315153462,1
"2208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.201721971467737,0.88573445636203,1
"2209",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,4,0.135150640623817,0.568059286401951,1
"2210",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,4.5,0.306751542444185,1.37875088880625,1
"2213",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.159637744354624,0.777239397442223,1
"2214",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0.121844454313115,0.500343823060824,1
"2215",3,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,1,4,0.134418677796611,0.547149009205874,1
"2216",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.411884610143139,2.05942305071569,1
"2217",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,4,0.0563080301201148,0.250650505468383,1
"2222",2,1,1,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,4,0.137513298982031,0.557253388126714,1
"2225",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,0,4,0.153618267014212,0.668993010156742,1
"2230",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.0915818686994263,0.40096128439332,1
"2231",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.022511465734943,0.112557328674715,1
"2233",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,4,0.12045054315712,0.504006437962914,1
"2237",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,4,0.107880798643883,0.477895675280803,1
"2241",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.105465551741819,0.470882427131508,1
"2242",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,4,0.249827384278617,1.01825621384014,1
"2248",1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.199919513223546,0.913600545804928,1
"2250",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,4,0.0782724752424037,0.274363384694409,1
"2256",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.141514370667798,0.59092629149207,1
"2257",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0.0932255209300722,0.418272671648538,1
"2258",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.123707550420717,0.567196772796293,1
"2261",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.203573018385615,0.834102472567841,1
"2264",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.134130339778172,0.465573032387498,1
"2271",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,4.5,0.189396564587503,0.816884569337304,1
"2273",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,1,0,0,1,4,0.0988502763044549,0.383140978284801,1
"2275",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.346459256894197,1.73229628447098,1
"2277",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.126557631800213,0.574896944245177,1
"2278",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,1,0,0,4,0.201728412424362,0.799054198361972,1
